version,doi,id,v01,v02,v03,v04,v05,v06,v07,v08,v10,v11,v12_01,v12_02,v12_03,v12_04,v12_05,v12_06,v12_07,v12_08,v12_09,v12_10,v12_11,v13,v14,v15,v16,v17,v18,v19,v20,v21
1.0 (2020-12-01),doi:10.11587/XJZPCU,11,11,20 Projekte für mehr Fairness in Österreich.,SPÖ für mehr Fairness in Österreich,1,1100000,1,0,1,11104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,12,12,www.spoe.at,SPÖ: www.spoe.at,1,1100000,1,0,9,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,13,13,XXX Bild von Alfred Gusenbauer,XXX Bild von Alfred Gusenbauer,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,14,14,XXX Bild von Alfred Gusenbauer,XXX Bild von Alfred Gusenbauer,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,15,15,XXX Bild von Alfred Gusenbauer,XXX Bild von Alfred Gusenbauer,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,16,16,XXX Bild von SPÖ-Logo,XXX Bild von SPÖ-Logo,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,17,17,Wahlmanifest der Sozialdemokratischen Partei Österreichs,SPÖ für eigenes Wahlprogramm,1,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,18,18,Den Wohlstand gerecht verteilen.,SPÖ für gerechte Wohlstandsverteilung,1,1100000,1,0,1,11105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,19,19,20 Projekte für mehr Fairness in Österreich.,SPÖ für mehr Fairness in Österreich,1,1100000,1,0,1,11104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,20,20,XXX Bild von SPÖ-Logo,XXX Bild von SPÖ-Logo,1,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,21,21,Wahlmanifest der Sozialdemokratischen Partei Österreichs,SPÖ für eigenes Wahlprogramm,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,22,22,Den Wohlstand gerecht verteilen.,SPÖ für gerechte Wohlstandsverteilung,3,1100000,1,0,1,11105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,23,23,20 Projekte für mehr Fairness in Österreich.,SPÖ für mehr Fairness in Österreich,3,1100000,1,0,1,11104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,24,24,Wahlmanifest der Sozialdemokratischen Partei Österreichs,SPÖ für eigenes Wahlprogramm,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,25,25,Einleitung.,Einleitung,3,,,,,,,,,,,,,,,,,,,,,,,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,26,26,"Projekt 1: Arbeitslosigkeit senken, Wachstum ankurbeln",SPÖ für Projekt 1,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,27,26,"Projekt 1: Arbeitslosigkeit senken, Wachstum ankurbeln",SPÖ für Senkung der Arbeitslosigkeit,3,1100000,1,0,-1,10201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,28,26,"Projekt 1: Arbeitslosigkeit senken, Wachstum ankurbeln",SPÖ für mehr Wirtschaftswachstum,3,1100000,1,0,1,10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,29,27,Projekt 2: Investieren in die Kinder,SPÖ für Projekt 2,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,30,27,Projekt 2: Investieren in die Kinder,SPÖ für Investitionen in die Kinder,3,1100000,1,0,1,11716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,31,28,Projekt 3: Bestmögliche berufliche Bildung,SPÖ für Projekt 3,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,32,28,Projekt 3: Bestmögliche berufliche Bildung,SPÖ für berufliche Bildung,3,1100000,1,0,1,13602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,33,29,Projekt 4: Universitäten für die Zukunft,SPÖ für Projekt 4,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,34,29,Projekt 4: Universitäten für die Zukunft,SPÖ für Universitäten für die Zukunft,3,1100000,1,0,1,13401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,35,30,Projekt 5: Faire Chancen für Frauen,SPÖ für Projekt 5,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,36,30,Projekt 5: Faire Chancen für Frauen,SPÖ für faire Chancen für Frauen,3,1100000,1,0,1,19101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,37,31,Projekt 6: Ein hochwertiges und gerechtes Gesundheits- und Pflegesystem,SPÖ für Projekt 6,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,38,31,Projekt 6: Ein hochwertiges und gerechtes Gesundheits- und Pflegesystem,SPÖ für hochwertiges Gesundheitssystem,3,1100000,1,0,1,11301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,39,31,Projekt 6: Ein hochwertiges und gerechtes Gesundheits- und Pflegesystem,SPÖ für hochwertiges Pflegesystem,3,1100000,1,0,1,11501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,40,31,Projekt 6: Ein hochwertiges und gerechtes Gesundheits- und Pflegesystem,SPÖ für gerechtes Gesundheitssystem,3,1100000,1,0,-1,11312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,41,31,Projekt 6: Ein hochwertiges und gerechtes Gesundheits- und Pflegesystem,SPÖ für gerechtes Pflegesystem,3,1100000,1,0,1,11501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,42,32,Projekt 7: Faire und sichere Pensionen,SPÖ für Projekt 7,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,43,32,Projekt 7: Faire und sichere Pensionen,SPÖ für faire Pensionen,3,1100000,1,0,1,11601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,44,32,Projekt 7: Faire und sichere Pensionen,SPÖ für sichere Pensionen,3,1100000,1,0,1,11601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,45,33,Projekt 8: Wachstum durch Innovation,SPÖ für Projekt 8,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,46,33,Projekt 8: Wachstum durch Innovation,SPÖ für Wachstum,3,1100000,1,0,1,10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,47,33,Projekt 8: Wachstum durch Innovation,SPÖ für Innovation,3,1100000,1,0,1,13402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,48,34,Projekt 9: Den Mittelstand fördern,SPÖ für Projekt 9,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,49,34,Projekt 9: Den Mittelstand fördern,SPÖ für Förderung des Mittelstands,3,1100000,1,0,1,10602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,50,35,Projekt 10: Kontinuerliche Weiterentwicklung des Sozialstaates,SPÖ für Projekt 10,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,51,35,Projekt 10: Kontinuerliche Weiterentwicklung des Sozialstaates,SPÖ für Weiterentwicklung des Sozialstaates,3,1100000,1,0,1,11103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,52,36,Projekt 11: Für eine nachhaltig und sozial verträglich gestaltete Umwelt,SPÖ für Projekt 11,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,53,36,Projekt 11: Für eine nachhaltig und sozial verträglich gestaltete Umwelt,SPÖ für nachhaltige Umwelt,3,1100000,1,0,1,20101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,54,36,Projekt 11: Für eine nachhaltig und sozial verträglich gestaltete Umwelt,SPÖ für sozial verträglich gestaltete Umwelt,3,1100000,1,0,1,20101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,55,37,Projekt 12: Politik für den ländlichen Raum,SPÖ für Projekt 12,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,56,37,Projekt 12: Politik für den ländlichen Raum,SPÖ für den ländlichen Raum,3,1100000,1,0,1,11102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,57,38,Projekt 13: Leistbares und hochwertiges Wohnen,SPÖ für Projekt 13,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,58,38,Projekt 13: Leistbares und hochwertiges Wohnen,SPÖ für leistbares Wohnen,3,1100000,1,0,-1,10805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,59,38,Projekt 13: Leistbares und hochwertiges Wohnen,SPÖ für hochwertiges Wohnen,3,1100000,1,0,1,11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,60,39,"Projekt 14: Der Sport als sozial-, gesundheits- und wirtschaftspolitischer Faktor",SPÖ für Projekt 14,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,61,39,"Projekt 14: Der Sport als sozial-, gesundheits- und wirtschaftspolitischer Faktor",SPÖ spricht über Sport als sozialpolitischen Faktor,3,1100000,1,0,0,11952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,62,39,"Projekt 14: Der Sport als sozial-, gesundheits- und wirtschaftspolitischer Faktor",SPÖ spricht über Sport als gesundheitspolitischen Faktor,3,1100000,1,0,0,11952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,63,39,"Projekt 14: Der Sport als sozial-, gesundheits- und wirtschaftspolitischer Faktor",SPÖ spricht über Sport als wirtschaftspolitischen Faktor,3,1100000,1,0,0,11952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,64,40,Projekt 15: Die Sicherheit der Bevölkerung in Österreich verbessern,SPÖ für Projekt 15,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,65,40,Projekt 15: Die Sicherheit der Bevölkerung in Österreich verbessern,SPÖ für mehr Sicherheit für die Bevölkerung,3,1100000,1,0,-1,14101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,66,41,Projekt 16: Äußere Sicherheit und Neutralität,SPÖ für Projekt 16,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,67,41,Projekt 16: Äußere Sicherheit und Neutralität,SPÖ spricht über die äußere Sicherheit,3,1100000,1,0,0,15101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,68,41,Projekt 16: Äußere Sicherheit und Neutralität,SPÖ spricht über die Neutralität,3,1100000,1,0,0,16108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,69,42,Projekt 17: Ein soziales Europa als Antwort auf die Globalisierung,SPÖ für Projekt 17,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,70,42,Projekt 17: Ein soziales Europa als Antwort auf die Globalisierung,SPÖ für ein soziales Europa als Antwort auf die Globalisierung,3,1100000,1,0,1,17507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
1.0 (2020-12-01),doi:10.11587/XJZPCU,71,43,Projekt 18: Zuwanderung und Integration: Rechte und Pflichten,SPÖ für Projekt 18,3,1100000,1,0,1,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2006,1100000,Den Wohlstand gerecht verteilen. 20 Projekte für mehr Fairness in Österreich. Wahlmanifest der Sozialdemokratischen Partei Österreichs
